ПІБ лікаря,person_gender,person_age,n_visits
Бордунова Н.В.,чоловіча,y65+,352
Бородуля Тамара Павлівна,жіноча,y18-39,10
Бородуля Тамара Павлівна,жіноча,y40-64,47
Бородуля Тамара Павлівна,жіноча,y65+,26
Бородуля Тамара Павлівна,чоловіча,y40-64,1
Бохолдіна Л.І.,жіноча,y0-5,503
Бохолдіна Л.І.,жіноча,y6-17,743
Бохолдіна Л.І.,жіноча,y18-39,2
Бохолдіна Л.І.,чоловіча,y0-5,616
Бохолдіна Л.І.,чоловіча,y6-17,695
Бохолдіна Л.І.,чоловіча,y18-39,2
Бояренко Ігор Олегович,жіноча,y0-5,500
Бояренко Ігор Олегович,жіноча,y6-17,1364
Бояренко Ігор Олегович,жіноча,y18-39,4
Бояренко Ігор Олегович,жіноча,y40-64,2
Бояренко Ігор Олегович,чоловіча,y0-5,757
Бояренко Ігор Олегович,чоловіча,y6-17,1979
Бояренко Ігор Олегович,чоловіча,y18-39,4
Бояренко Ігор Олегович,чоловіча,y40-64,1
Бояренко Ігор Олегович,чоловіча,y65+,1
Бояренко Олена Олександрівна,жіноча,y0-5,308
Бояренко Олена Олександрівна,жіноча,y6-17,638
Бояренко Олена Олександрівна,жіноча,y18-39,1
Бояренко Олена Олександрівна,чоловіча,y0-5,501
Бояренко Олена Олександрівна,чоловіча,y6-17,878
Бояренко Олена Олександрівна,чоловіча,y40-64,1
Брагіна Наталя Вікторівна,жіноча,y6-17,53
Брагіна Наталя Вікторівна,жіноча,y18-39,1052
Брагіна Наталя Вікторівна,жіноча,y40-64,1309
Брагіна Наталя Вікторівна,жіноча,y65+,1177
Брагіна Наталя Вікторівна,чоловіча,y6-17,59
Брагіна Наталя Вікторівна,чоловіча,y18-39,985
Брагіна Наталя Вікторівна,чоловіча,y40-64,789
Брагіна Наталя Вікторівна,чоловіча,y65+,404
Бражник Л.В.,жіноча,y0-5,821
Бражник Л.В.,жіноча,y6-17,1219
Бражник Л.В.,жіноча,y18-39,1
Бражник Л.В.,чоловіча,y0-5,919
Бражник Л.В.,чоловіча,y6-17,1221
Бражник Л.В.,чоловіча,y18-39,2
Брук І.М.,жіноча,y0-5,731
Брук І.М.,жіноча,y6-17,958
Брук І.М.,жіноча,y65+,1
Брук І.М.,чоловіча,y0-5,808
Брук І.М.,чоловіча,y6-17,1194
Брук І.М.,чоловіча,y18-39,3
Буглаєва І.Г.,чоловіча,y18-39,2
Буданцева Екатерина Семенівна,жіноча,y0-5,383
Буданцева Екатерина Семенівна,жіноча,y6-17,1400
Буданцева Екатерина Семенівна,жіноча,y18-39,2
Буданцева Екатерина Семенівна,чоловіча,y0-5,442
Буданцева Екатерина Семенівна,чоловіча,y6-17,1442
Буданцева Екатерина Семенівна,чоловіча,y18-39,1
Букіна Ольга Петрівна,жіноча,y0-5,1246
Букіна Ольга Петрівна,жіноча,y6-17,1297
Букіна Ольга Петрівна,жіноча,y18-39,1
Букіна Ольга Петрівна,жіноча,y65+,2
Букіна Ольга Петрівна,чоловіча,y0-5,1125
Букіна Ольга Петрівна,чоловіча,y6-17,1316
Букіна Ольга Петрівна,чоловіча,y18-39,2
Булі Валентина Григорівна,жіноча,y0-5,1023
Булі Валентина Григорівна,жіноча,y6-17,1063
Булі Валентина Григорівна,жіноча,y18-39,6
Булі Валентина Григорівна,жіноча,y65+,1
Булі Валентина Григорівна,чоловіча,y0-5,1034
Булі Валентина Григорівна,чоловіча,y6-17,960
Булі Валентина Григорівна,чоловіча,y18-39,4
Бурикін Олександр Юрійович,жіноча,y0-5,719
Бурикін Олександр Юрійович,жіноча,y6-17,845
Бурикін Олександр Юрійович,жіноча,y18-39,1
Бурикін Олександр Юрійович,жіноча,y65+,1
Бурикін Олександр Юрійович,чоловіча,y0-5,838
Бурикін Олександр Юрійович,чоловіча,y6-17,960
Бурикін Олександр Юрійович,чоловіча,y18-39,1
Бурикін Олександр Юрійович,чоловіча,y40-64,19
Бурикіна Лариса Василівна,жіноча,y0-5,838
Бурикіна Лариса Василівна,жіноча,y6-17,689
Бурикіна Лариса Василівна,жіноча,y18-39,1
Бурикіна Лариса Василівна,чоловіча,y0-5,1103
Бурикіна Лариса Василівна,чоловіча,y6-17,859
Бурмистрова Наталя Михайлівна,жіноча,y0-5,552
Бурмистрова Наталя Михайлівна,жіноча,y6-17,664
Бурмистрова Наталя Михайлівна,жіноча,y18-39,472
Бурмистрова Наталя Михайлівна,жіноча,y40-64,660
Бурмистрова Наталя Михайлівна,жіноча,y65+,541
Бурмистрова Наталя Михайлівна,чоловіча,y0-5,544
Бурмистрова Наталя Михайлівна,чоловіча,y6-17,743
Бурмистрова Наталя Михайлівна,чоловіча,y18-39,489
Бурмистрова Наталя Михайлівна,чоловіча,y40-64,555
Бурмистрова Наталя Михайлівна,чоловіча,y65+,243
Біленька Галина Вікторівна,жіноча,y0-5,258
Біленька Галина Вікторівна,жіноча,y6-17,153
Біленька Галина Вікторівна,чоловіча,y0-5,283
Біленька Галина Вікторівна,чоловіча,y6-17,198
Василенко Валентина Матвіївна,жіноча,y0-5,340
Василенко Валентина Матвіївна,жіноча,y6-17,1058
Василенко Валентина Матвіївна,жіноча,y18-39,2
Василенко Валентина Матвіївна,жіноча,y40-64,2
Василенко Валентина Матвіївна,чоловіча,y0-5,444
Василенко Валентина Матвіївна,чоловіча,y6-17,1143
Василенко Валентина Матвіївна,чоловіча,y18-39,1
Василенко Валентина Матвіївна,чоловіча,y65+,1
Васильєв В.О.,жіноча,y6-17,4
Васильєв В.О.,жіноча,y18-39,191
Васильєв В.О.,жіноча,y40-64,625
Васильєв В.О.,жіноча,y65+,536
Васильєв В.О.,чоловіча,y6-17,2
Васильєв В.О.,чоловіча,y18-39,216
Васильєв В.О.,чоловіча,y40-64,535
Васильєв В.О.,чоловіча,y65+,183
Васильєва Ольга Іванівна,жіноча,y0-5,1521
Васильєва Ольга Іванівна,жіноча,y6-17,1926
Васильєва Ольга Іванівна,жіноча,y18-39,3
Васильєва Ольга Іванівна,чоловіча,y0-5,1637
Васильєва Ольга Іванівна,чоловіча,y6-17,1887
Васильєва Ольга Іванівна,чоловіча,y18-39,3
Васюкевич Олена Іванівна,жіноча,y18-39,324
Васюкевич Олена Іванівна,жіноча,y40-64,630
Васюкевич Олена Іванівна,жіноча,y65+,784
Васюкевич Олена Іванівна,чоловіча,y0-5,1
Васюкевич Олена Іванівна,чоловіча,y6-17,4
Васюкевич Олена Іванівна,чоловіча,y18-39,299
Васюкевич Олена Іванівна,чоловіча,y40-64,542
Васюкевич Олена Іванівна,чоловіча,y65+,382
Васіна Олена Олександрівна,жіноча,y18-39,238
Васіна Олена Олександрівна,жіноча,y40-64,714
Васіна Олена Олександрівна,жіноча,y65+,858
Васіна Олена Олександрівна,чоловіча,y0-5,2
Васіна Олена Олександрівна,чоловіча,y6-17,2
Васіна Олена Олександрівна,чоловіча,y18-39,266
Васіна Олена Олександрівна,чоловіча,y40-64,410
Васіна Олена Олександрівна,чоловіча,y65+,320
Власенко Ю.В.,жіноча,y6-17,23
Власенко Ю.В.,жіноча,y18-39,312
Власенко Ю.В.,жіноча,y40-64,702
Власенко Ю.В.,жіноча,y65+,726
Власенко Ю.В.,чоловіча,y6-17,13
Власенко Ю.В.,чоловіча,y18-39,274
Власенко Ю.В.,чоловіча,y40-64,480
Власенко Ю.В.,чоловіча,y65+,262
Воздіган Наталя Євгенівна,жіноча,y18-39,241
Воздіган Наталя Євгенівна,жіноча,y40-64,502
Воздіган Наталя Євгенівна,жіноча,y65+,652
Воздіган Наталя Євгенівна,чоловіча,y18-39,126
Воздіган Наталя Євгенівна,чоловіча,y40-64,345
Воздіган Наталя Євгенівна,чоловіча,y65+,179
Воробйова Арина Григорівна,жіноча,y0-5,1203
Воробйова Арина Григорівна,жіноча,y6-17,2032
Воробйова Арина Григорівна,жіноча,y18-39,4
Воробйова Арина Григорівна,жіноча,y65+,1
Воробйова Арина Григорівна,чоловіча,y0-5,1333
Воробйова Арина Григорівна,чоловіча,y6-17,1856
Воробйова Арина Григорівна,чоловіча,y18-39,5
Воробйова Арина Григорівна,чоловіча,y40-64,2
Воробйова О.В.,жіноча,y0-5,1
Воробйова О.В.,жіноча,y6-17,1
Воробйова О.В.,жіноча,y18-39,509
Воробйова О.В.,жіноча,y40-64,1050
Воробйова О.В.,жіноча,y65+,1130
Воробйова О.В.,чоловіча,y0-5,5
Воробйова О.В.,чоловіча,y6-17,1
Воробйова О.В.,чоловіча,y18-39,437
Воробйова О.В.,чоловіча,y40-64,676
Воробйова О.В.,чоловіча,y65+,343
Восканян Асмік Сааківна,жіноча,y0-5,1359
Восканян Асмік Сааківна,жіноча,y6-17,991
Восканян Асмік Сааківна,жіноча,y18-39,2
Восканян Асмік Сааківна,чоловіча,y0-5,1237
Восканян Асмік Сааківна,чоловіча,y6-17,1156
Восканян Асмік Сааківна,чоловіча,y40-64,1
Воєвода Катерина Андріївна,жіноча,y0-5,1
Воєвода Катерина Андріївна,жіноча,y6-17,3
Воєвода Катерина Андріївна,жіноча,y18-39,213
Воєвода Катерина Андріївна,жіноча,y40-64,690
Воєвода Катерина Андріївна,жіноча,y65+,808
Воєвода Катерина Андріївна,чоловіча,y6-17,5
Воєвода Катерина Андріївна,чоловіча,y18-39,218
Воєвода Катерина Андріївна,чоловіча,y40-64,413
Воєвода Катерина Андріївна,чоловіча,y65+,312
Віжга Віталій Вікторович,жіноча,y6-17,2
Віжга Віталій Вікторович,жіноча,y18-39,624
Віжга Віталій Вікторович,жіноча,y40-64,762
Віжга Віталій Вікторович,жіноча,y65+,556
